Animal ID,Found Location,At AAC,Intake Date,Type,Looks Like,Color,Sex,Age,Image Link
A793052,"2005 WILLOW CREEK DR
AUSTIN 78741
(30.232387, -97.729292)",Yes (come to the shelter),9/13/19,Dog,Pit Bull Mix,White/Brown,Spayed Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A793052
A804218,"UNIVERSITY CLUB DRIVE AUSTIN 78732
(30.370203, -97.897807)",Yes (come to the shelter),9/11/19,Cat,Domestic Shorthair,Brown Tabby/White,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A804218
A804654,"4434 FRONTIER TRAIL
AUSTIN 78745
(30.23124, -97.795476)",Yes (come to the shelter),9/17/19,Dog,German Shepherd,Brown/Black,Intact Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A804654
A804309,"510 E FAWNRIDGE DRIVE
AUSTIN 78753
(30.357031, -97.692091)",Yes (come to the shelter),9/13/19,Dog,Dachshund/Chihuahua Longhair,Brown,Intact Male,5 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A804309
A786445,"5201 BERKMAN
AUSTIN 78723
(30.305083, -97.69814)",Yes (come to the shelter),9/14/19,Dog,Pit Bull Mix,White/Brown,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A786445
A804357,"ALF AVENUE
AUSTIN 78721",Yes (come to the shelter),9/13/19,Dog,Siberian Husky,Black/White,Intact Female,3 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A804357
A804633,"AIRPORT
AUSTIN 78721",Yes (come to the shelter),9/16/19,Cat,Domestic Shorthair,White/Orange,Intact Female,7 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A804633
A804558,"12246 ABBEY GLEN
AUSTIN 78753
(30.389108, -97.658159)",Yes (come to the shelter),9/15/19,Cat,Domestic Shorthair Mix,Brown Tabby/White,Unknown,1 week,http://www.petharbor.com/pet.asp?uaid=ASTN.A804558
A804496,"10308 WAGON ROAD
AUSTIN 78736
(30.242253, -97.975217)",Yes (come to the shelter),9/15/19,Cat,Domestic Shorthair Mix,Black,Intact Female,2 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A804496
A667505,"16000 FM
AUSTIN 78724",Yes (come to the shelter),9/15/19,Cat,Domestic Shorthair Mix,Brown Tabby/White,Neutered Male,7 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A667505
A804563,"12246 ABBEY GLEN
AUSTIN 78753
(30.389108, -97.658159)",Yes (come to the shelter),9/15/19,Cat,Siamese Mix,Lynx Point,Unknown,1 week,http://www.petharbor.com/pet.asp?uaid=ASTN.A804563
A804372,"5106 NORTH LAMAR
AUSTIN 78756",No (contact for more info),9/13/19,Cat,Domestic Shorthair Mix,White/Gray,Unknown,1 week,http://www.petharbor.com/pet.asp?uaid=ASTN.A804372
A804560,"12246 ABBEY GLEN
AUSTIN 78753
(30.389108, -97.658159)",Yes (come to the shelter),9/15/19,Cat,Domestic Shorthair Mix,Blue,Unknown,1 week,http://www.petharbor.com/pet.asp?uaid=ASTN.A804560
A804314,"2501 SUNNY HILLS DRIVE
AUSTIN 78744
(30.173769, -97.764417)",No (contact for more info),9/13/19,Dog,Jack Russell Terrier Mix,White/Black,Intact Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A804314
A804445,"1411 GRACY FARMS LANE
AUSTIN 78758
(30.396052, -97.694087)",Yes (come to the shelter),9/14/19,Cat,Domestic Shorthair,Blue Tabby,Neutered Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A804445
A804310,"6809 GUADALUPE STREET
AUSTIN 78752
(30.334454, -97.716634)",No (contact for more info),9/13/19,Dog,Doberman Pinsch,Brown/Tan,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A804310
