,lon,lat,addresses,LooksLike
0,30.232387,-97.729292,2005 WILLOW CREEK DR,Pit Bull Mix
1,30.370203,-97.897807,UNIVERSITY CLUB DRIVE AUSTIN 78732,Domestic Shorthair
2,30.23124,-97.795476,4434 FRONTIER TRAIL,German Shepherd
3,30.357031,-97.692091,510 E FAWNRIDGE DRIVE,Dachshund/Chihuahua Longhair
4,30.305083,-97.69814,5201 BERKMAN,Pit Bull Mix
5,,,ALF AVENUE,Siberian Husky
6,,,AIRPORT,Domestic Shorthair
7,30.389108,-97.658159,12246 ABBEY GLEN,Domestic Shorthair Mix
8,30.242253,-97.975217,10308 WAGON ROAD,Domestic Shorthair Mix
9,,,16000 FM,Domestic Shorthair Mix
10,30.389108,-97.658159,12246 ABBEY GLEN,Siamese Mix
11,,,5106 NORTH LAMAR,Domestic Shorthair Mix
12,30.389108,-97.658159,12246 ABBEY GLEN,Domestic Shorthair Mix
13,30.173769,-97.764417,2501 SUNNY HILLS DRIVE,Jack Russell Terrier Mix
14,30.396052,-97.694087,1411 GRACY FARMS LANE,Domestic Shorthair
15,30.334454,-97.716634,6809 GUADALUPE STREET,Doberman Pinsch
16,30.39307,-97.676452,12118 WALNUT PARK CROSSING,Cairn Terrier
17,30.29766,-97.494357,20400 QUIET OAKS LANE MANOR78653,Golden Retriever Mix
18,,,5106 NORTH LAMAR,Domestic Shorthair Mix
19,30.216938,-97.527444,18303 RIVER TIMBER DRIVE78617,Border Collie/Basenji
20,,,MIMEBARK WAY,Flat Coat Retriever Mix
21,,,MIMEBARK WAY,Labrador Retriever/Pit Bull
22,,,5106 NORTH LAMAR,Domestic Shorthair Mix
23,30.451126,-97.66994,15406 PATRICIA STREET,Miniature Poodle
24,,,5106 NORTH LAMAR,Domestic Shorthair Mix
25,30.25658,-97.706503,607 TILLERY STREET,Domestic Shorthair
26,30.379889,-97.705741,10315 STUBBLE QUAIL DRIVE,Domestic Shorthair
27,30.267756,-97.687752,1157 BROOKSWOOD AVENUE,Labrador Retriever
28,,,290 AUSTIN78737,American Bulldog Mix
29,30.379889,-97.705741,10315 STUBBLE QUAIL DRIVE,Domestic Shorthair
30,30.252531,-97.834576,4107 TRAVIS COUNTRY CIRCLE,Border Collie Mix
31,,,6389 EAST US 290 HIGHWAY SERVICE ROAD,Chihuahua Shorthair
32,30.327128,-97.732433,5518 ROOSEVELT AVENUE,Domestic Shorthair Mix
33,,,FRIENDSHIP DRIVE,German Shepherd
34,30.305372,-97.706489,1315 BARBARA JORDAN BOULEVARD,Australian Shepherd
35,30.389108,-97.658159,12246 ABBEY GLEN,Domestic Shorthair Mix
36,30.198837,-97.72864,5508 APPLE ORCHARD LANE,Chihuahua Shorthair Mix
37,,,12TH STREET,Pit Bull Mix
38,30.345865,-97.531473,EAST HOWARDS LANE MANOR 78653,Norfolk Terrier
39,30.389108,-97.658159,12246 ABBEY GLEN,Domestic Shorthair Mix
40,30.198061,-97.579978,3605 NORWOOD LANE78617,German Shepherd
41,,,RAWHIDE TRAIL,Domestic Shorthair
42,30.17415,-97.797072,627 RALPH ABLANEDO DRIVE,Miniature Schnauzer
43,,,GRACY FARMS LANE,Labrador Retriever
44,,,BOSTON LANE,Labrador Retriever
45,,,PARSON STREET78653,Plott Hound
46,30.346033,-97.701859,300 E LOLA DR,Labrador Retriever
47,30.389108,-97.658159,12246 ABBEY GLEN,Domestic Shorthair Mix
48,,,WICKERSHAM,Labrador Retriever Mix
49,30.389108,-97.658159,12246 ABBEY GLEN,Domestic Shorthair Mix
50,30.316965,-97.623758,7601 DAFFAN LANE,Domestic Shorthair
51,30.298553,-97.720058,1000 EAST 41ST STREET,Labrador Retriever
52,30.213975,-97.859448,AUSTIN 78749,Domestic Medium Hair
53,30.346033,-97.701859,300 E LOLA DR,German Shepherd Mix
54,30.13624,-97.780275,10916 RIVER PLANTATION DRIVE,German Shepherd
55,30.357907,-97.683431,9506 DALLUM DRIVE,Domestic Shorthair
56,,,THOMPSON LANE,Pit Bull
57,30.443747,-97.745708,13102 NEW BOSTON BEND,Staffordshire Mix
58,,,PARSON STREET78653,Plott Hound
59,,,ELM GROVE ROAD78610,Australian Cattle Dog
60,,,7509 NORTH INTERSTATE HIGHWAY,Siberian Husky
61,,,ELM GROVE ROAD78610,Australian Cattle Dog
62,30.154213,-97.845515,11508 BRUCE JENNER LANE,Domestic Shorthair
63,30.154213,-97.845515,11508 BRUCE JENNER LANE,Domestic Shorthair
64,30.154213,-97.845515,11508 BRUCE JENNER LANE,Domestic Shorthair
65,,,SOUTH EAST PLEASANT VALLEY ROAD,Domestic Shorthair
66,30.199766,-97.509951,3519 RIVER RD78612,Australian Cattle Dog
67,30.154213,-97.845515,11508 BRUCE JENNER LANE,Domestic Shorthair
68,,,MILLRACE DRIVE,Chihuahua Shorthair
69,,,BRANDT ROAD,Irish Terrier
70,,,SOUTH EAST PLEASANT VALLEY ROAD,Domestic Shorthair
71,,,8718 FM,Domestic Medium Hair
72,,,SOUTH EAST PLEASANT VALLEY ROAD,Domestic Shorthair
73,,,WEST WILLIAM CANNON DRIVE,Domestic Shorthair
74,,,8718 FM,Domestic Medium Hair
75,30.188318,-97.76465,1912 EAST WILLIAM CANNON DRIVE,Tibetan Terrier
76,30.143098,-97.787056,10501 LA COSTA DRIVE,Domestic Shorthair
77,30.220407,-97.661327,1615 CROZIER LANE78617,Pit Bull
78,30.387233,-97.662881,1006 PEGOTTY PL,Chihuahua Shorthair
79,,,1425 WELLS GRANCH PARKWAY78758,Domestic Shorthair
80,30.143098,-97.787056,10501 LA COSTA DRIVE,Domestic Shorthair
81,,,4715 GREEN RIDGE,Bichon Frise Mix
82,,,13901 STRIPLING LANE78660,Pit Bull
83,,,SLAUGHTER LANE,German Shepherd Mix
84,,,SLAUGHTER LANE,German Shepherd Mix
85,,,SHADY SPRINGS ROAD,Toy Poodle Mix
86,30.509626,-98.102158,5809 SHAW78654,Miniature Pinscher
