cat,child,dog,home_alone,pet_age,pet_breed,pet_id,pet_location,pet_name,pet_sex
1,2,1,4,6.58,"Terrier, Pit Bull / Mix",APA-A-36615,Foster,Sparky,Male
0,1,1,5,3.75,Mixed Breed (Large) / Great Dane,APA-A-45785,TLAC,Rio,Male
2,1,1,5,5.67,"Shepherd, Anatolian / Mix",APA-A-47726,TLAC,Twister,Male
2,1,2,4,6.58,"Retriever, Yellow Labrador / Mix",APA-A-49698,TLAC,Beryl,Male
2,1,1,5,5.5,Hound / Hound,APA-A-43905,TLAC,Brindle,Male
3,1,1,4,4.42,Hound / Mix,APA-A-35188,Foster,Ziggy,Male
0,3,1,5,4.0,"Retriever, Labrador / Mix",APA-A-53121,Foster,Grayson,Male
0,1,2,3,6.67,Bernese Mountain Dog / Mix,APA-A-53740,TLAC,Ludwig,Male
2,1,1,4,5.83,"Terrier, Pit Bull / Mix",APA-A-54604,Foster,Vegas,Male
0,2,4,4,5.92,"Retriever, Labrador / Mix",APA-A-54851,TLAC,June Bug,Female
2,1,2,4,4.75,Catahoula Leopard Dog / Mix,APA-A-37564,TLAC,Rocco,Male
1,1,2,2,6.83,"Retriever, Labrador / Mix",APA-A-55056,TLAC,Jake Ryan,Male
1,2,1,4,7.92,Mixed Breed (Medium) / Mix,APA-A-55237,Foster,Brooks,Male
3,4,1,3,10.25,"Retriever, Black Labrador",APA-A-55491,Foster,Schone,Female
1,2,1,4,4.42,"Terrier, Pit Bull / Mix",APA-A-40017,Foster,Monty,Male
0,2,3,5,9.0,"Retriever, Labrador / Mix",APA-A-36893,Foster,Nike,Male
0,2,3,3,6.5,Retriever / Mixed Breed (Large),APA-A-57113,Foster,Bob Barker,Male
0,2,2,4,9.83,"Retriever, Black Labrador / Mix",APA-A-57449,Foster,Bethany,Female
1,1,1,5,5.08,"Retriever, Black Labrador / Mix",APA-A-53450,TLAC,Jasmine,Female
0,1,2,3,4.33,"Retriever, Labrador / Shepherd, German",APA-A-58608,TLAC,Manning,Male
0,1,1,5,4.67,"Terrier, Pit Bull / Mix",APA-A-59189,Foster,Benito,Male
4,1,3,4,7.5,"Terrier, Pit Bull / Mix",APA-A-59431,TLAC,Princeton,Male
2,3,2,3,7.92,"Retriever, Labrador / Mix",APA-A-55345,Foster,Cricket,Female
2,2,2,3,6.83,Mixed Breed (Large) / Mix,APA-A-60553,Foster,Toro,Male
2,2,2,4,3.67,Mixed Breed (Medium),APA-A-61252,Foster,Sally,Female
2,3,2,4,5.83,Mixed Breed (Medium),APA-A-56868,Foster,Migos,Male
1,1,2,5,4.67,Retriever / Mix,APA-A-30844,Foster,Josie,Female
2,3,1,3,2.67,Cattle Dog / Mix,APA-A-61501,TLAC,Kline,Male
0,2,2,4,8.08,Chihuahua,APA-A-62339,Tarrytown,Miguelito,Male
0,2,1,4,6.25,Mixed Breed (Medium) / Mix,APA-A-62575,Foster,Tom Hanks,Male
0,2,1,4,4.83,Mixed Breed (Medium),APA-A-55843,Foster,Floppy,Male
2,2,2,4,4.08,"Bulldog, American / Mix",APA-A-64409,TLAC,Jenga,Female
1,4,4,3,11.0,Mixed Breed (Medium) / Mix,APA-A-64403,Foster,Brady,Male
0,2,1,5,6.25,Mixed Breed (Large),APA-A-64524,Foster,Mr Marbles,Male
1,2,1,4,4.08,"Retriever, Black Labrador / Mix",APA-A-64567,TLAC,Midnight,Female
3,1,2,5,8.33,Boxer / Mixed Breed (Medium),APA-A-41503,Foster,Clark,Male
4,2,4,4,3.83,"Coonhound, Redbone / Mix",APA-A-38221,Foster,Calvin,Male
0,1,3,4,4.25,Boxer / Mix,APA-A-49870,TLAC,El Jefe,Male
4,0,3,3,7.08,Dachshund / Mix,APA-A-46986,Foster,Brenda,Female
2,2,1,4,5.83,Mixed Breed (Medium) / Mix,APA-A-65267,Foster,Sarah,Female
0,1,1,4,3.17,Mixed Breed (Medium) / Mix,APA-A-57999,TLAC,Button,Male
2,3,1,5,3.33,"Terrier, Pit Bull / Mix",APA-A-55076,TLAC,Sailor,Female
0,1,3,5,3.83,"Terrier, Pit Bull / Mix",APA-A-59055,Foster,Rhino,Male
0,2,1,1,5.67,Mixed Breed (Medium) / Boxer,APA-A-38419,TLAC,Tutu,Female
0,4,4,4,3.83,"Terrier, Pit Bull / Mix",APA-A-66283,Foster,Churchill,Male
0,1,2,4,4.33,"Retriever, Labrador / Mix",APA-A-55384,TLAC,John Rambo,Male
1,1,3,2,4.75,"Shepherd, German / Mix",APA-A-62493,TLAC,Lennon,Male
